Simulation,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingVintage,EUI[kWh/m²a],Baseboard Design Size U-Factor Times Area Average [kW/K],EUI-Heating[kWh/m²a],EUI-InteriorLighting[kWh/m²a],EUI-Pumps[kWh/m²a],EUI-Cooling[kWh/m²a],GrossFloorArea[m²],HotWaterPumpDesignFlowRate[l/min],HotWaterPumpDesignPowerConsumption[kW],Baseboard Design Size Maximum Water Flow Rate Average [l/min],HeatEmissions-Total[MWh/a],HeatEmissionsZone-Exfiltration[MWh/a],HeatEmissionsZone-HVACRejectHeat[MWh/a],BoilerDesignSizeNominalCapacity[kW],CentralAirSourceHeatPumpCapacity[kW],Service Hot Water Heater Design Flow Rate [l/min],Boiler Heating Rate Average [kW],District Heating Rate Average [kW],Average District Heating Rate [kW],District Heating Hot Water Energy Sum [MJ],District Heating Inlet Temperature Average[C],District Heating Outlet Temperature Average [C],District Heating Mass Flow Rate Average [kg/s],Boiler Heating Energy Average [MJ],Boiler Inlet Temperature Average[C],Boiler Outlet Temperature Average [C],Boiler Mass Flow Rate Average [kg/s],Boiler Part Load Ratio Average,Boiler Efficiency,Baseboard Total Heating Energy Sum Average [MJ],Baseboard Hot Water Energy Sum Average[MJ],Baseboard Hot Water Mass Flow Rate Average Average [kg/s],Baseboard Air Inlet Temperature Average Average [C],Baseboard Air Outlet Temperature Average Average [C],Baseboard Water Inlet Temperature Average Average [C],Baseboard Water Outlet Temperature Average Average [C],Baseboard Total Heating Rate Average Average [kW],Baseboard Total Heating Rate Average Sum[kW],Baseboard Total Heating Energy Sum Sum [MJ],Baseboard Hot Water Energy Sum Sum[MJ],Baseboard Hot Water Mass Flow Rate Average Sum [kg/s],Baseboard Water Outlet Temperature Average Sum [C],Baseboard Water Inlet Temperature Average Sum [C],Baseboard Air Outlet Temperature Average Sum [C],Baseboard Air Inlet Temperature Average Sum [C],Water Heater Heat Loss Rate Average [kW],Water Heater Tank Temperature Average [C],Water Heater Heat Loss Energy Sum [MJ],Water Heater Use Side Mass Flow Rate Average [kg/s],Water Heater Use Side Inlet Temperature Average [C],Water Heater Use Side Outlet Temperature Average [C],Water Heater Use Side Heat Transfer Rate Average [kW],Water Heater Use Side Heat Transfer Energy Sum [MJ],Water Heater Total Demand Heat Transfer Rate Average [kW],Water Heater Heating Rate Average [kW],Water Heater Electricity Rate Average [kW],Volume [m³],Construction Area [%],Window to Wall Ratio [%]
Simulation408,Urban,58,7,2.94,Horizontal-Windows,3.89,3.56,3,4,3,8.36,TRUE,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2016,58.665,0.160324,1.835,17.425,0.004,0,17340.41,8.349334,0.005925,8.921476,2261.761111,534.633333,7,462.263074,0,8.349334,2.832973,0,0,0,0,0,0,0.024817,24816.84062,39.457931,0.0132,0.006128,0.214364,0.000368,0.000368,0.000196,32.484599,32.583397,82.221844,80.656481,0.041957,2.853098,0.024993,0.024993,0.013303,5484.640714,5591.085391,2215.67097,2208.952738,-0.221799,58.966522,-0.001943,0.095175,50.327479,58.966522,-4.559985,-0.039945,4.765861,4.766001,4.766001,50980.81288,0.037954,0.277697
Simulation410,City,104,2,3.99,Horizontal-Windows,2.05,2.53,3,5,3,8.01,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2016,60.146,0.611893,4.983,16.41,0.033,0,2583.97,3.908739,0.002774,6.62565,497.472222,88.827778,0,0,116.707051,3.908739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001322,0.001322,0.001313,24.718435,25.387946,48.880608,44.09842,0.150916,3.471069,0.030407,0.030407,0.0302,1014.26365,1124.253995,583.922749,568.524002,0,67.014137,0,0.044556,51.20003,67.014137,-2.180681,-0.019103,2.175572,2.180626,2.180626,10310.025,0.070136,0.287029
Simulation411,Urban,128,10,3.2,Vertical-Windows,2.57,3.89,4,3,2,9.96,FALSE,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,2010,61.593,0.124886,5.17,17.952,0.006,0,13574.33,3.229001,0.002292,6.950412,2517.652778,497.011111,15.441667,503.127103,0,3.229001,6.249216,0,0,0,0,0,0,0.054743,54743.12987,45.255909,0.028608,0.012421,0.297172,0.000582,0.000582,0.000308,28.859383,29.096156,82.217698,78.276298,0.066386,6.306656,0.055246,0.055246,0.029261,7436.248281,7810.681295,2764.134824,2741.641355,-0.221812,58.968744,-0.001943,0.036808,50.33217,58.968744,-1.763526,-0.015448,1.96937,1.969438,1.969438,43437.86861,0.054336,0.183069
Simulation413,Urban,154,5,3.81,Ribbon-Windows,3.08,3.6,4,5,3,8.32,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2013,59.061,1.130301,1.252,17.724,0.009,0,12966.75,8.356328,0.00593,12.24198,1746.661111,501.591667,0,0,468.772869,8.356328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000757,0.000757,0.000758,31.364883,31.535051,48.887463,47.55842,0.086413,4.320671,0.037849,0.037849,0.037904,2377.920999,2444.373129,1576.752533,1568.244174,-0.2218,58.966588,-0.001943,0.095255,50.331074,58.966588,-4.563881,-0.03998,4.769757,4.76996,4.76996,49403.32024,0.039436,0.565102
Simulation414,Country,177,3,3.86,Horizontal-Windows,3.66,2.77,3,5,2,8.98,TRUE,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2019,58.278,0.833501,2.371,17.249,0.017,0,5673.34,5.457517,0.003873,9.021413,1074.355556,198.091667,0,0,221.088091,5.457517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000985,0.000985,0.000982,27.116568,27.431379,48.885856,46.460289,0.112475,3.599211,0.031529,0.031529,0.031437,1486.729249,1564.347376,877.804113,867.730163,0,67.01427,0,0.062211,51.199802,67.01427,-3.044882,-0.026673,3.039773,3.044828,3.044828,21899.07974,0.055779,0.330277
Simulation416,Suburbs,70,8,4.29,Ribbon-Windows,3.17,3.15,5,5,3,10.97,FALSE,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2013,60.654,1.365561,2.179,18.11,0.014,0,21180.34,7.525443,0.005341,14.795891,2947.916667,806.033333,0,0,872.514456,7.525443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001403,0.001403,0.001459,30.223975,30.514025,48.883301,46.641699,0.160154,12.331887,0.108027,0.108027,0.112309,3591.410849,3764.014182,2349.579903,2327.246055,0,67.014931,0,0.085784,51.20068,67.014931,-4.198514,-0.036779,4.193412,4.198467,0,90863.67535,0.037449,0.609852
Simulation418,Suburbs,167,7,3.15,Vertical-Windows,2.42,2.46,5,3,3,9.95,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016,59.325,0.553885,2.547,17.694,0.015,0,7817.74,2.691931,0.00191,6.00109,1511.516667,277.997222,0,0,312.52147,2.691931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000689,0.000689,0.000679,27.414928,27.753801,48.884832,46.197753,0.07864,5.347535,0.046844,0.046844,0.046201,3141.447237,3324.168591,1887.258476,1864.21511,0,67.013071,0,0.030686,51.198555,67.013071,-1.501902,-0.013157,1.496782,1.501837,0,24625.88806,0.061692,0.180889
Simulation419,Urban,122,5,3.91,Vertical-Windows,2.06,2.22,4,5,2,8.89,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019,63.419,0.528401,4.934,18.121,0.028,0,4420.91,2.461809,0.001747,5.724435,1017.622222,177.169444,0,0,219.201458,2.461809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001035,0.001035,0.001026,25.504489,26.117666,48.883195,44.357935,0.118154,5.907679,0.051751,0.051751,0.051322,2217.896728,2444.159757,1305.88328,1275.224429,0,67.013005,0,0.028063,51.198528,67.013005,-1.373504,-0.012032,1.368383,1.373438,0,17285.76764,0.069342,0.203979
Simulation420,Suburbs,62,8,3.14,Ribbon-Windows,2.85,3.49,4,3,2,7.37,TRUE,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,2004,59.983,0.665918,2.783,18.125,0.016,0,9803.77,3.212593,0.00228,7.216457,1525.930556,376.816667,0,0,425.554836,3.212593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831,0.000831,0.000817,29.025215,29.37907,48.885357,46.118118,0.094843,7.302947,0.063974,0.063974,0.062934,3551.09512,3764.172478,2262.188381,2234.941593,0,67.01397,0,0.036621,51.1999,67.01397,-1.792293,-0.0157,1.787182,1.792236,1.792236,30783.83066,0.056713,0.518642
Simulation421,Suburbs,53,4,3.5,Horizontal-Windows,3.78,2.27,4,4,2,10.6,TRUE,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004,58.83,0.734997,3,17.609,0.018,0,6186.61,3.695233,0.002622,7.958782,1086.219444,218.388889,0,0,249.902874,3.695233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001066,0.001066,0.001059,27.52528,27.915114,48.88561,45.989751,0.121719,4.990484,0.043717,0.043717,0.043438,1885.579788,2004.309998,1144.519686,1128.536497,-0.221816,58.969273,-0.001943,0.042122,50.328306,58.969273,-2.018158,-0.017679,2.22401,2.22413,2.22413,21653.1441,0.061256,0.346074
