,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System_Template
0,Urban,0,1,3.22,Horizontal-Windows,3.0,2.5,5,4,3,7.0,False,External-Shading,GEG,BoilerBaseboard
1,Country,135,10,3.65,Vertical-Windows,3.5,4.0,4,3,4,10.0,True,External-Shading,Passive,BoilerBaseboard
2,Suburbs,90,8,2.8,Ribbon-Windows,2.5,2.0,4,4,4,8.5,False,External-Shading,Passive,DHWBaseboard
3,Suburbs,45,3,4.5,Horizontal-Windows,4.0,3.5,4,5,2,13.0,False,Low-SHGC-Value,NZEB,DHWBaseboard
4,City,180,6,4.08,Ribbon-Windows,2.0,3.0,3,4,2,11.5,True,Low-SHGC-Value,GEG,ASHPBaseboard
