,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingSystemVintage,Open Office: Heating Setpoint,Open Office: Cooling Setpoint,Open Office: ACH,Open Office: PPA,Meeting: Heating Setpoint,Meeting: Cooling Setpoint,Meeting: ACH,Meeting: PPA,SHW Efficiency
0,City,0,3,4.5,Horizontal-Windows,4.0,4.0,4,3,4,8.5,False,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007,24.0,26.0,5.0,0.12,21.0,25.5,7.0,0.15,2.0
1,Urban,90,10,3.22,Ribbon-Windows,3.5,3.5,4,4,4,11.5,False,Low-SHGC-Value,Passive,DHWBaseboard,Gas_TanklessHeater,pre_1980,21.8,25.5,5.5,0.05,22.0,27.0,6.0,0.32,3.5
2,Suburbs,135,8,2.8,Horizontal-Windows,2.5,2.5,3,4,3,7.0,False,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,2019,21.0,24.0,4.5,0.09,24.0,26.2,5.5,0.24,1.25
3,Suburbs,45,6,3.65,Ribbon-Windows,3.0,2.0,4,5,2,10.0,True,External-Shading,GEG,BoilerBaseboard,HeatPump_WaterHeater,2013,22.5,25.0,6.0,0.16,23.0,24.0,5.0,0.5,0.5
4,Country,180,1,4.08,Vertical-Windows,2.0,3.0,5,4,2,13.0,True,External-Shading,Passive,DHWBaseboard,Gas_WaterHeater,2004,23.2,24.5,4.0,0.2,20.0,24.8,6.5,0.41,2.75
